name_id,person_id,name_text,language,source_scope,status
"name-0001","nt-people-0001","Aaron","en","canonical","accepted"
"name-0002","nt-people-0001","אַהֲרֹן","en","canonical","pending"
"name-0003","nt-people-0001","Ἀαρών","grc","alias","accepted"
"name-0004","nt-people-0002","Abel","en","canonical","accepted"
"name-0005","nt-people-0002","הֶ֫בֶל","en","canonical","pending"
"name-0006","nt-people-0002","Ἄβελ","grc","alias","accepted"
"name-0007","nt-people-0003","Abiathar","en","canonical","accepted"
"name-0008","nt-people-0003","אֶבְיָתָר","en","canonical","pending"
"name-0009","nt-people-0003","Ἀβιαθάρ","grc","alias","accepted"
"name-0010","nt-people-0004","Abijah","en","canonical","accepted"
"name-0011","nt-people-0004","אֲבִיָּה","en","canonical","pending"
"name-0012","nt-people-0004","Ἀβιά","grc","alias","accepted"
"name-0013","nt-people-0005","Abijah","en","canonical","accepted"
"name-0014","nt-people-0005","אֲבִיָּה","en","canonical","pending"
"name-0015","nt-people-0005","אֲבִיָּ֫הוּ","en","variant","pending"
"name-0016","nt-people-0005","אֲבִיָּם","en","canonical","pending"
"name-0017","nt-people-0005","Ἀβιά","grc","alias","accepted"
"name-0018","nt-people-0006","Abiud","en","canonical","accepted"
"name-0019","nt-people-0006","Ἀβιούδ","grc","canonical","accepted"
"name-0020","nt-people-0007","Abraham","en","canonical","accepted"
"name-0021","nt-people-0007","אַבְרָהָם","en","canonical","pending"
"name-0022","nt-people-0007","אַבְרָם","en","canonical","pending"
"name-0023","nt-people-0007","Ἀβραάμ","grc","alias","accepted"
"name-0024","nt-people-0008","Achaicus","en","canonical","accepted"
"name-0025","nt-people-0008","Ἀχαϊκός","grc","canonical","accepted"
"name-0026","nt-people-0009","Achim","en","canonical","accepted"
"name-0027","nt-people-0009","Ἀχείμ","grc","canonical","accepted"
"name-0028","nt-people-0010","Adam","en","canonical","accepted"
"name-0029","nt-people-0010","אָדָם","en","canonical","pending"
"name-0030","nt-people-0010","הָאָדָם","en","variant","pending"
"name-0031","nt-people-0010","Ἀδάμ","grc","alias","accepted"
"name-0032","nt-people-0011","Addi","en","canonical","accepted"
"name-0033","nt-people-0011","Ἀδδί","grc","canonical","accepted"
